"","X","IntNpy","IntPv","ExcL2","IntSst","ExcL6p2","Erp","ExcL5p1","ExcL6p1","NS","Sub","ExcL4","Syn","LrpS","ExcL5p3","IntCckVip","ExcL3","ExcL5p2","LrpD","Hip","Other"
"1","cell_217",0.24273475147192,0.145898024077073,0.189675593704544,0.133401718428014,0.186893405769319,0.280310869237872,0.25065153174836,0.263328828196323,0.224162189774308,0.245507253072763,0.324576295434746,0.333509767326484,0.182440423948489,0.164365830435593,0.153811876804064,0.253787535565098,0.222104380690352,0.228811937689821,0.107134056244724,0.280351095597219
"2","cell_239",0.327812087133927,0.196779787935882,0.299280508198853,0.206769797228627,0.248940610331982,0.386562379832146,0.393215781852273,0.39255794863511,0.380850441443619,0.35164028357006,0.411101728804236,0.481768626594072,0.212402689796382,0.210488983788347,0.196801359347665,0.348644663356556,0.347569232293538,0.313863317320117,0.15184371698783,0.383716016947591
"3","cell_243",0.312191872372681,0.154948428677181,0.230873690418788,0.155645061810111,0.213927277040223,0.278501509462176,0.269810294542538,0.28126032290107,0.204186586141921,0.260378950707732,0.322331136667375,0.315689132044847,0.179111510655526,0.158778130113031,0.162464408280662,0.276488751346488,0.227565958688366,0.188048409987456,0.124000273908005,0.311032356833584
"4","cell_259",0.224990697705358,0.129576136223513,0.161147465157394,0.173133130552031,0.235548439240946,0.303293333894327,0.256119289458193,0.220533894925563,0.225613279935481,0.409489748848308,0.245821881008401,0.379282443516273,0.163660873193367,0.178662991208394,0.184562291698384,0.271260077177985,0.327996715428599,0.346878760562811,0.154263267001383,0.263946202206443
"5","cell_260",0.393483168378527,0.212568666043899,0.37243700323684,0.274428284842698,0.385828951576876,0.535197799841369,0.470798603755732,0.47044514746344,0.487651421546193,0.761551043399043,0.682036006285958,0.665550671413336,0.313621805996812,0.488184785624238,0.324805371634261,0.543436751560116,0.66254275897163,0.564439470107821,0.275455348859042,0.667103336628348
"6","cell_261",0.178884354296856,0.10143388616937,0.102387601140513,0.134310952270098,0.173150379191847,0.188911756839195,0.193693033208449,0.192177528559024,0.124807282641947,0.229678934179033,0.169306643211362,0.240212497137714,0.110318431164721,0.124904033732956,0.0963360947703836,0.150370024246037,0.164503078149024,0.181339763332489,0.0781722291605702,0.173008161615383
"7","cell_262",0.245955845612298,0.137058058921659,0.182413823791219,0.177408415600599,0.288459254918093,0.309524549177091,0.294287236258932,0.37600687150859,0.426494041588745,0.559892769404255,0.318149353546555,0.532635874325606,0.236876246351752,0.332603567570749,0.197481555030186,0.296343233380267,0.477235849550249,0.475135051777683,0.128924324500014,0.323267212704345
"8","cell_264",0.31090874747979,0.149484341157951,0.31232128053013,0.195788315385582,0.258201480091667,0.297353766328182,0.412658611273624,0.332374395732521,0.348295384720601,0.427737657828746,0.323779183989565,0.492252933842364,0.276711091200116,0.26538394852101,0.200681283587318,0.370330231167383,0.363967633904364,0.43568299287386,0.177414963524549,0.368088730728314
"9","cell_265",0.315560090604342,0.187346516561412,0.310287370771789,0.239769493415994,0.37901946845458,0.419909821057968,0.36521372259428,0.474986188885352,0.389182113919792,0.921503186486838,0.50519843668336,0.497442703550537,0.198882723399347,0.36300765356384,0.237512192860624,0.375011992215186,0.36648380455986,0.417497941620164,0.218111295765607,0.453100459029162
"10","cell_266",0.389263546440217,0.201965616083196,0.324036787691529,0.250932242493642,0.334267495460043,0.433786173899961,0.428086391626903,0.399499918110445,0.508556516140622,0.579783261666497,0.530388495337612,0.719510028334938,0.283362691280382,0.507328381847346,0.280849395894739,0.497335738008599,0.653365281703787,0.511133558730571,0.241368483331031,0.54576141582262
"11","cell_267",0.172115907084931,0.0796956928462889,0.0963066304556248,0.11951691765633,0.149227819064878,0.245844823525615,0.182616142226532,0.204394511314831,0.0957104854223758,0.172998960236928,0.149088034872792,0.274082820385851,0.114179563100924,0.0975717266083927,0.100550746956914,0.163161237620262,0.180409396966658,0.179395984209588,0.0737593815023113,0.187861622134647
"12","cell_268",0.375107256880629,0.182355856477122,0.230788075160053,0.220933317705589,0.256753108398472,0.369602958666694,0.301882641454124,0.2679006364374,0.322762526399024,0.345460513994068,0.371535030489202,0.448121084109401,0.243029248973092,0.284893291775946,0.286100372828299,0.408811304449913,0.298312006817446,0.391962504893167,0.173056692434073,0.399685987627059
"13","cell_269",0.399638845027397,0.361372476927955,0.328137212437513,1.18212385237592,0.410021543131213,0.444956977103006,0.424674345686117,0.507178783642232,0.636763973298389,0.516548727101874,0.624828376178502,0.674863978110095,0.301367092563392,0.558443350541979,0.446517015633256,0.563971880670855,0.564165785301287,0.556648540386559,0.285476904284957,0.597745681110488
"14","cell_270",0.270093063328073,0.102947366660788,0.106146220677045,0.1470668931051,0.164645591547231,0.209565140978702,0.206262235062584,0.226681245444995,0.134346788463051,0.193146821212014,0.173579561023571,0.321194763221546,0.140944692154702,0.125192848150426,0.130629281327515,0.190324475920589,0.233838251484926,0.189798472739892,0.0881962862941918,0.197506670183828
"15","cell_271",0.216264335390551,0.116763901473789,0.146215161258572,0.154623640722169,0.191739185665664,0.220630738813804,0.212701698209626,0.217280964923916,0.116987904572505,0.184372727718536,0.229254512064944,0.223941272297335,0.157709307478493,0.121281392161205,0.116314235876946,0.165907706582338,0.165850159278895,0.166640903123729,0.100880003888028,0.212538215072298
"16","cell_272",0.193876370422123,0.107446320238037,0.099374036241935,0.14083511136115,0.185282748748769,0.204284177353752,0.204377249372267,0.207896420484261,0.112079887507295,0.147892792904546,0.119607563011717,0.159314186376186,0.148316360828614,0.0989133703253622,0.115837790016438,0.142139051701778,0.172959189825346,0.158477740517559,0.0926692948494169,0.1393596599679
"17","cell_273",0.477341328937834,0.222235113861523,0.311701363715912,0.240553247221449,0.304851879664347,0.421978833150118,0.424985016953029,0.346805055109291,0.399825844258826,0.494342539322324,0.566304490760134,0.568895414360898,0.288279076234455,0.37393847083727,0.256895408311345,0.480168477023869,0.407646024360122,0.438186910382653,0.215590785554769,0.500618247675459
"18","cell_274",0.391685447735907,0.160932630667945,0.21768819553222,0.181023699309824,0.233725560678673,0.375229574641398,0.299800246116969,0.252149192671627,0.287358089637348,0.349217718183121,0.358780635736014,0.358539160984956,0.196352674078685,0.249407115995842,0.190490035515822,0.33482690100806,0.258969228195125,0.369589282376694,0.150876939208038,0.353114162457931
"19","cell_275",0.511692953216733,0.207880747365516,0.35989682431576,0.251742442235019,0.326713857213015,0.389977589819693,0.36687892709503,0.323786788582386,0.319932506913355,0.42380706272405,0.502374336644942,0.544883635134461,0.245927223795616,0.363636348436737,0.238914864032746,0.48608356493075,0.343394739669115,0.365908800826842,0.199935129784738,0.45414075881393
"20","cell_276",0.305658886231683,0.194015583616176,0.255890577145058,0.257162417766947,0.43521156779972,0.421866223332366,0.431687948144121,0.52624869864905,0.606971580307216,0.898917780780769,0.501930148467186,0.704357620549954,0.265588695221336,0.620669911516795,0.259529011293217,0.401286547743571,0.501288224620388,0.523841735284385,0.182174234007523,0.498158935072021
"21","cell_277",0.306249281983214,0.191612278662404,0.256387018606072,0.284592056088513,0.403698613446668,0.370505740985873,0.412274014682813,0.568557384040503,0.622534234750398,0.83964576989973,0.462422040907501,0.659387723573023,0.287087082470857,0.530423877740243,0.259645020977719,0.374272993138104,0.491804872559387,0.516023879947423,0.195289460726657,0.480955647262323
"22","cell_278",0.181889441902339,0.104759737262758,0.12038237824552,0.133138822217759,0.178041147197989,0.198395873686818,0.225214567456708,0.245822909981307,0.13960857184027,0.192344223785614,0.174766096923265,0.252590633582408,0.140954164122336,0.145579510850288,0.134802954078401,0.137605409655906,0.184058835672762,0.171757905310685,0.0968811912710149,0.161759572823485
"23","cell_279",0.269100824918961,0.136316959802822,0.172165691517941,0.1580425796936,0.198277588146008,0.274330767825668,0.237443712830318,0.24482174892733,0.174521766086183,0.251288810873828,0.260713675308987,0.295273842746461,0.169840815713628,0.147496220895295,0.149744436436054,0.234347718910237,0.208602677990538,0.232981565059176,0.125663953387575,0.288900415162133
"24","cell_280",0.1878110561959,0.098297450143153,0.136131533972186,0.165144958472128,0.174373333760978,0.174664159874297,0.207899514528974,0.167407206886768,0.105995437518218,0.178169621615976,0.127418021354945,0.214371456113296,0.105348624902057,0.0971551320814266,0.118799906503661,0.149217015324668,0.154094982487021,0.180629346099248,0.0907683605163573,0.170769257204145
"25","cell_281",0.624161955241436,0.282190549346583,0.400529063695802,0.297271081438942,0.415859026434522,0.542893825268274,0.519216133569976,0.425899425256483,0.548433382985522,0.612676516620065,0.64402059202454,0.743614958433015,0.367717940846153,0.466289224839215,0.335404861581852,0.648686837774644,0.571978216852324,0.631237544227586,0.246659795087876,0.617887928115478
"26","cell_282",0.294907130098153,0.164094610859192,0.212850622990081,0.214295220150501,0.331055084983983,0.324137423458763,0.359177170898005,0.47156804290049,0.445825350206091,0.843427740036469,0.346958591056585,0.505768348830312,0.232259386422571,0.376973621542909,0.213381665112575,0.29937557376775,0.401249700425621,0.392018659689418,0.17636287042378,0.31642780812706
"27","cell_283",0.433707220278731,0.188433762366909,0.382232657481046,0.247625529518813,0.350812760411151,0.484800179118411,0.441173147968732,0.343916911142315,0.373683686895468,0.494794833500981,0.52844767227821,0.600398015698468,0.296849317306262,0.34550038894185,0.298177885733173,0.57442921698223,0.380616962340946,0.524104834622275,0.205867106882209,0.52455847191846
"28","cell_284",0.312325658023728,0.210110389796013,0.265935582640619,0.542814554095622,0.318175818309456,0.364743888304756,0.348153407257034,0.448403208627399,0.645507990301671,0.551909504692078,0.441650856644247,0.68522667225986,0.291788113395763,0.439022280062324,0.332298155968687,0.489022647021161,0.608559867725341,0.483263034187227,0.179586168675475,0.397816454124112
"29","cell_285",0.246836007729968,0.135870183508938,0.146601923696205,0.186437245797277,0.242660050399537,0.243213064023791,0.291642538163647,0.268181570679122,0.211476535402542,0.297622108051744,0.219584598698364,0.400736207430283,0.168207774145394,0.236326316705926,0.145484533202816,0.216679625442034,0.333567536107192,0.325443324401325,0.109783260955451,0.235020971604956
"30","cell_286",0.484578967674845,0.220255488248683,0.471363698105259,0.3191003376192,0.426258058219687,0.587959951025769,0.455491347932521,0.519258566399386,0.486281338721633,0.792626149419899,0.682533481296792,0.691403906907812,0.340490907287343,0.472941553626172,0.324745007455025,0.580022853327058,0.609620503334613,0.548604302839664,0.297107811769565,0.649691700870372
"31","cell_287",0.395871731113538,0.191246918245623,0.277683221190991,0.216671329412277,0.285686271744765,0.371966258237398,0.358176579735569,0.323907405843559,0.306147094347509,0.379945082301365,0.44026028442906,0.443717543447299,0.250158656424013,0.357786635832469,0.192975824695452,0.428616157886076,0.335444527387563,0.328831726315362,0.165994750568393,0.438338655574205
"32","cell_288",0.546467527863785,0.215530579738939,0.375159441223659,0.278292120174825,0.353159579483619,0.396250162482164,0.497443203409499,0.345024726911827,0.370459131217817,0.473577436170239,0.472527055606544,0.58300738572898,0.276355149727734,0.419242804058936,0.246022685667125,0.468393389341215,0.448590606450953,0.526829072800904,0.187841800595888,0.446832604636368
"33","cell_289",0.498104280751343,0.245769470059529,0.519283023373286,0.312237821285194,0.497023789415535,0.592788828938994,0.491970650616139,0.484790113803398,0.567333497877034,0.789070749704185,0.855552592650995,0.946932042019342,0.304456205810114,0.809298155429968,0.385141709806209,0.704896023079427,0.618599066568425,0.543192444695921,0.288985198031083,0.677604048938794
"34","cell_290",0.554024002882964,0.239126025908572,0.413214252315019,0.285342681649677,0.527313697672863,0.456504378025421,0.440529694921345,0.586782770780896,0.524785489832179,0.943465986557262,0.610963812583067,0.611390589466842,0.235709771047629,0.59852838656937,0.276777010355313,0.442756060712151,0.416264618948547,0.417315416910833,0.227867097103581,0.563919497979647
"35","cell_291",0.318594751227953,0.182998261836526,0.234367804817443,0.232702523794271,0.35569373396169,0.304656924490545,0.35446578744712,0.497367326496094,0.492605771335063,0.93254212620919,0.346063114763502,0.578919209002316,0.22294839790051,0.440361299023468,0.216426209275801,0.320338580770948,0.398421498855763,0.40609312852607,0.169663525878416,0.315822001763566
"36","cell_292",0.240482330911697,0.165429623599653,0.194761857096742,0.452302629118123,0.225269925560138,0.289136218443544,0.304812786129911,0.3642074551031,0.388786291190045,0.342446842657471,0.329158684085615,0.453474212955368,0.207014978492101,0.324475912363209,0.208924528717539,0.290288193066054,0.298088681375231,0.27836585276733,0.156153602802659,0.278301914659299
"37","cell_293",0.45353743468351,0.24996841666506,0.466267814061713,0.299331188296649,0.367421713125558,0.503226163514194,0.568045660915219,0.445231901100684,0.418906000992385,0.383421007885165,0.496711343552471,0.568252791817735,0.363903483984993,0.308726730732712,0.251219165205986,0.427977250230675,0.394801500348442,0.42794137933393,0.215763729147592,0.544307820191029
"38","cell_294",0.525861004975099,0.222446965102021,0.407016663857048,0.299585797294065,0.570258628493447,0.653261546289979,0.502817860817426,0.641996587377958,0.664725733487102,1.4055077796764,0.588770248144247,0.760042849211903,0.382613707004106,0.421113148191488,0.315277314898915,0.451965766703923,0.520414434396241,0.703820355675668,0.215782957105815,0.613021701313041
"39","cell_295",0.387437563883878,0.193889393783498,0.382157075797906,0.219044585619059,0.335613391577932,0.517982710114721,0.483683389838692,0.430026017674418,0.490260781280813,0.637074857181806,0.595583944370522,0.816765205835763,0.343551322814617,0.36159936148755,0.29242675681691,0.489090119478073,0.488578397333497,0.592322482943728,0.207043845760536,0.52888505114373
"40","cell_296",0.51157946196682,0.216341138167154,0.340141968963432,0.234052798979404,0.324573356946177,0.552315262953258,0.436752749922367,0.368626258691805,0.326590193662537,0.468021580441955,0.527676824039015,0.617420342306149,0.309313778924474,0.31090265544031,0.274070726456175,0.535386862661442,0.350691690413824,0.440013371272897,0.218319141091893,0.489562141360148
"41","cell_297",0.353603261084513,0.178724827326631,0.256950587765449,0.233010144222655,0.299245292707941,0.393837103314708,0.402087047356639,0.325456249018362,0.329724719713401,0.323409283620541,0.303840495921344,0.463088644037097,0.233344529328087,0.21277377930941,0.200131436771463,0.312872831790512,0.333328931721805,0.365495048593502,0.153242381511306,0.354972246131022
"42","cell_298",0.480990569106553,0.259081295482869,0.398908376204922,0.279080698620092,0.388682521911182,0.7922337969449,0.551491428494691,0.398066060789645,0.465396817924581,0.443271524939328,0.470908329962529,0.506836073000168,0.350025787627895,0.293070781420442,0.274155553738702,0.554387485507841,0.397488898665708,0.534009389237734,0.212700527985618,0.596145987508224
"43","cell_299",0.352400182363798,0.634158650669408,0.280873102920375,0.394570312515691,0.311841080511226,0.403373167821108,0.342083310562023,0.362096595676386,0.523952680006795,0.341279650250499,0.503762195521414,0.487670905401388,0.298901574501753,0.322502089307396,0.248541199506228,0.356862873936375,0.479029855417432,0.55424530321876,0.142421535899387,0.480697837206978
"44","cell_300",0.646000736712401,0.272934629223757,0.416540761325698,0.328531435755726,0.421644117530095,0.505911306308524,0.585627774068347,0.428679956648427,0.43435448584071,0.469489025137366,0.475518468134677,0.574638566386743,0.30428759802221,0.288496519354908,0.329505241344887,0.485531171400598,0.37223210023173,0.416199892832689,0.237462079072542,0.606569116324806
"45","cell_301",0.356224865626053,0.429583211108568,0.298569541657491,0.407364561419686,0.325475622262943,0.38285807446013,0.338101055968953,0.414131273546039,0.514573891879042,0.596454790109731,0.464298170308193,0.542488312305167,0.289257626931988,0.424244645489478,0.250111778870082,0.379865455298819,0.472146615563555,0.45188682965373,0.177301647698657,0.452924300188878
"46","cell_302",0.409448617039854,0.226556673018238,0.300369463018091,0.25080205467336,0.288011157439085,0.451952101687033,0.392136662875906,0.344340309901009,0.341089750684934,0.346852751067454,0.410109304200429,0.426965597521965,0.222664638404599,0.2667170408757,0.213437975827431,0.417245480863865,0.301732505669625,0.342200159588773,0.173248212101854,0.497659109154945
"47","cell_303",0.389834223566679,0.180389363364396,0.303524094805482,0.256567210322063,0.34817352276533,0.372793285568889,0.383999332891076,0.522278818607479,0.476498429891666,0.79799176796905,0.4111973281771,0.523921714236477,0.225013759598772,0.380384556056702,0.237551299601589,0.323343189584018,0.3839799450982,0.39144478047363,0.180183662403153,0.388123146143679
"48","cell_305",0.237370890432869,0.137449462606718,0.126102353552962,0.160821546350614,0.208356261488778,0.215956186179013,0.255141328192021,0.185382906946912,0.108712235957377,0.16551304924069,0.13381319707303,0.179234471452432,0.150562451885361,0.109166510694609,0.111613870891109,0.171080817875652,0.162349455912168,0.188924550569192,0.0984206059096641,0.168225500343526
"49","cell_307",0.485067591998628,0.244935894291942,0.42886513880768,0.274742614484145,0.345254856036973,0.543451458019282,0.62061155501358,0.509793791536749,0.480752833751414,0.534284479169526,0.540141252492752,0.630695817115579,0.330435895457506,0.279914740461348,0.281237723633033,0.501713897533166,0.430000607716375,0.481081008776923,0.216115998743664,0.569739798221878
"50","cell_308",0.220419898239323,0.128450952203985,0.110312032529095,0.189969570226086,0.193375135299832,0.18331514254568,0.243944942757079,0.252424597318876,0.175087444036945,0.207372222676698,0.136151665546578,0.249459173658782,0.139807893188986,0.14069238423595,0.132849658792121,0.157091035788867,0.201906995450234,0.202867057601828,0.0973695072075812,0.141858414933019
"51","cell_309",0.270119050804965,0.131568881816828,0.139232529569639,0.164014746887017,0.235461099788794,0.313045786976926,0.260820978054453,0.220446093678741,0.157827744084485,0.233135107540115,0.185755864381797,0.337823210952122,0.1394807846369,0.134292582947021,0.159395089274957,0.235091978658912,0.234923893110175,0.243609806288793,0.103038412133537,0.263481071099295
"52","cell_310",0.348914850143318,0.18412603132124,0.294312896368646,0.209959770036911,0.28820287411863,0.441040077086534,0.399064039730452,0.399274179611226,0.340083283573197,0.401243326000897,0.414182464392635,0.533961844753689,0.249798294371427,0.267978199391111,0.236313867853552,0.433274055119456,0.338873469312826,0.402164261095235,0.196714812621102,0.471413125529698
"53","cell_311",0.471486213226662,0.591724949176506,0.425333368614049,0.977097418679202,0.480993726081483,0.529558398068592,0.428153045913674,0.47623484225376,0.71339364439161,0.563890617863052,0.642042448252712,0.818618500395921,0.35262490207514,0.578630652877487,0.362959462486145,0.621892148140354,0.598963779654661,0.619794111650283,0.259671044160904,0.687786143180321
"54","cell_312",0.222486617520674,0.135433296522152,0.152581336146178,0.179576415268577,0.212328887718074,0.244316826549038,0.274158290087769,0.27081972573589,0.149164006994982,0.236032811453101,0.183749110278753,0.258594096175893,0.149361067267542,0.159723743495704,0.156154856404863,0.197516395544635,0.194920730839028,0.215444096227763,0.11914217891498,0.185359987907025
