gene_seq,gene,background,signal,nprobe,signalxnprobe,cum_signal,cum_signalxnprobe,program,cum_signal_norm,cum_signal_nprobe_norm
0,cst3,1.5745403039783055,9.85941209816739,1.0,9.85941209816739,9.85941209816739,9.85941209816739,0,1.0,1.0
1,apoe,0.018083958895187335,4.191790414600414,1.0,4.191790414600414,14.051202512767803,14.051202512767803,0,1.4251562236027804,1.4251562236027804
2,aldoc,0.04116231887612038,3.2678862755458393,1.0,3.2678862755458393,17.319088788313643,17.319088788313643,0,1.7566046145421605,1.7566046145421605
3,gstm5,0.7036838076629183,3.1747040702922216,1.0,3.1747040702922216,20.493792858605865,20.493792858605865,0,2.078601914044665,2.078601914044665
4,prdx6,0.33747734291058734,1.7479610638619232,1.0,1.7479610638619232,22.241753922467787,22.241753922467787,0,2.2558904832268807,2.2558904832268807
5,dbi,0.45271858956295935,1.5188202974414573,1.0,1.5188202974414573,23.760574219909245,23.760574219909245,0,2.409938238034063,2.409938238034063
6,ndrg2,0.05237526369183736,1.3757497163770733,1.0,1.3757497163770733,25.136323936286317,25.136323936286317,0,2.5494749267006003,2.5494749267006003
7,htra1,0.01113983675755462,1.3385029564646078,1.0,1.3385029564646078,26.474826892750926,26.474826892750926,0,2.685233828259589,2.685233828259589
8,slc1a3,0.0013621908843189378,1.199360106633493,1.0,1.199360106633493,27.674186999384418,27.674186999384418,0,2.8068800374546,2.8068800374546
9,atp1a2,0.08035409961831781,1.1879855322408197,1.0,1.1879855322408197,28.862172531625237,28.862172531625237,0,2.927372569911138,2.927372569911138
10,mfge8,0.0015229058877888558,1.15108720668817,1.0,1.15108720668817,30.01325973831341,30.01325973831341,0,3.0441226555376564,3.0441226555376564
11,cd63,0.02126501498167772,1.0623767373393678,1.0,1.0623767373393678,31.075636475652775,31.075636475652775,0,3.1518751996814225,3.1518751996814225
12,gstm1,0.035621287347516344,1.0247406814914115,1.0,1.0247406814914115,32.10037715714419,32.10037715714419,0,3.2558104720169694,3.2558104720169694
13,glul,0.14219595548660488,0.8503607020736382,1.0,0.8503607020736382,32.950737859217824,32.950737859217824,0,3.342059093497321,3.342059093497321
14,gpr37l1,0.004655924448840964,0.8450333108735559,1.0,0.8450333108735559,33.79577117009138,33.79577117009138,0,3.4277673793930514,3.4277673793930514
15,ntsr2,0.012342696160037657,0.7943757206996438,1.0,0.7943757206996438,34.59014689079102,34.59014689079102,0,3.5083376723060833,3.5083376723060833
16,f3,0.0025149215290517723,0.7905794137505073,1.0,0.7905794137505073,35.380726304541525,35.380726304541525,0,3.5885229212721406,3.5885229212721406
17,qk,0.11468350229828658,0.7644838986545108,1.0,0.7644838986545108,36.14521020319604,36.14521020319604,0,3.6660614084600947,3.6660614084600947
18,gjb6,0.0010957926959425414,0.7446985311325686,1.0,0.7446985311325686,36.88990873432861,36.88990873432861,0,3.7415931464296426,3.7415931464296426
19,pla2g7,0.001236037372090126,0.7426088826925054,1.0,0.7426088826925054,37.632517617021115,37.632517617021115,0,3.8169129398715396,3.8169129398715396
20,slco1c1,0.00012028550791759734,0.7194074896262981,1.0,0.7194074896262981,38.351925106647414,38.351925106647414,0,3.889879510541612,3.889879510541612
21,mmd2,0.23963342368006896,0.6877005684008234,1.0,0.6877005684008234,39.039625675048235,39.039625675048235,0,3.9596301773718023,3.9596301773718023
22,cldn10,0.009130489822081804,0.6804270957832512,1.0,0.6804270957832512,39.72005277083149,39.72005277083149,0,4.028643125507902,4.028643125507902
23,s1pr1,8.25531680534298e-05,0.6662451751796461,1.0,0.6662451751796461,40.38629794601113,40.38629794601113,0,4.096217659217014,4.096217659217014
24,ptprz1,0.0005074574566787351,0.663578283629333,1.0,0.663578283629333,41.04987622964047,41.04987622964047,0,4.163521700981601,4.163521700981601
25,car2,0.00546875130970311,0.6373126466512002,1.0,0.6373126466512002,41.68718887629167,41.68718887629167,0,4.22816172619869,4.22816172619869
26,ppap2b,0.004476106288852601,0.561524881895473,1.0,0.561524881895473,42.248713758187144,42.248713758187144,0,4.285114907210349,4.285114907210349
27,gja1,5.167463220787181e-05,0.5565599313065518,1.0,0.5565599313065518,42.805273689493696,42.805273689493696,0,4.341564513511925,4.341564513511925
28,atp6v0e,0.18516058536484928,0.5124780613328569,1.0,0.5124780613328569,43.31775175082655,43.31775175082655,0,4.39354307533998,4.39354307533998
29,fermt2,0.18027840688699354,0.46390543448007426,1.0,0.46390543448007426,43.78165718530663,43.78165718530663,0,4.4405951135204615,4.4405951135204615
30,bcan,0.0015995450282706354,0.4489294271095485,1.0,0.4489294271095485,44.230586612416175,44.230586612416175,0,4.4861281962884485,4.4861281962884485
31,sepp1,2.5881216067654787e-05,0.445011128270671,1.0,0.445011128270671,44.67559774068685,44.67559774068685,0,4.5312638619691015,4.5312638619691015
32,abhd3,0.039067894607455786,0.4408118226045546,1.0,0.4408118226045546,45.1164095632914,45.1164095632914,0,4.575973609184809,4.575973609184809
33,smpdl3a,0.07349001997201123,0.4400891977323466,1.0,0.4400891977323466,45.55649876102375,45.55649876102375,0,4.62061006350384,4.62061006350384
34,slc27a1,0.14882109384830602,0.3946940189497229,1.0,0.3946940189497229,45.95119277997347,45.95119277997347,0,4.660642269787527,4.660642269787527
35,igfbp2,0.005059575810280965,0.372973880342226,1.0,0.372973880342226,46.3241666603157,46.3241666603157,0,4.698471490904226,4.698471490904226
36,rgcc,0.05260439632011937,0.3388354121438813,1.0,0.3388354121438813,46.66300207245958,46.66300207245958,0,4.732838186278168,4.732838186278168
37,appl2,0.0617382186871367,0.32852296621762095,1.0,0.32852296621762095,46.991525038677196,46.991525038677196,0,4.766158932276673,4.766158932276673
38,il18,0.03969335881009242,0.32336600359651935,1.0,0.32336600359651935,47.314891042273715,47.314891042273715,0,4.798956628566964,4.798956628566964
39,s100a1,0.0523548701067484,0.3153535534148332,1.0,0.3153535534148332,47.630244595688545,47.630244595688545,0,4.83094165467957,4.83094165467957
40,ptplb,0.1510247287384637,0.3047227199725145,1.0,0.3047227199725145,47.93496731566106,47.93496731566106,0,4.861848438668157,4.861848438668157
41,fam107a,0.0,0.3018012694989603,1.0,0.3018012694989603,48.23676858516002,48.23676858516002,0,4.892458911837755,4.892458911837755
42,csrp1,0.04379246428655085,0.3007101673786219,1.0,0.3007101673786219,48.53747875253865,48.53747875253865,0,4.922958718964644,4.922958718964644
43,myo6,0.052996008647805945,0.27754151456105636,1.0,0.27754151456105636,48.815020267099705,48.815020267099705,0,4.951108624029739,4.951108624029739
