node,leiden_cluster
cyth4,4
hexb,4
hpgds,4
fgd2,4
crybb1,4
aif1,4
unc93b1,4
spi1,4
cd48,4
fcgr1,4
c1qc,4
cd14,4
abca9,4
fcgr3,4
tmem173,4
ptpn6,4
tgfbr1,4
zfp36,4
rgs1,4
c1qa,4
nckap1l,4
p2ry13,4
ms4a4a,4
ms4a6b,4
fcrls,4
mrc1,4
lyz2,4
c1qb,4
siglech,4
tmem119,4
emr1,4
ccr5,4
tyrobp,4
pld4,4
lpcat2,4
fcgr2b,4
ang,4
tlr7,4
c3ar1,4
cd84,4
fcer1g,4
stab1,4
ly86,4
olfml3,4
csf1r,4
csf3r,4
gpr34,4
il10ra,4
rnase4,4
irf5,4
trem2,4
cd37,4
ccl3,4
cyba,4
pycard,4
selplg,4
ctss,4
cd68,4
cbr2,4
itgam,4
slc2a5,4
laptm5,4
cx3cr1,4
txnip,4
lyn,4
cd86,4
hpgd,4
dlx1as,5
sema3c,5
laptm4b,5
rab3b,5
cnr1,5
gad2,5
pcp4l1,5
abat,5
tmem130,5
npy,5
mafb,5
vip,5
araf,5
dlx6os1,5
cort,5
synpr,5
maf,5
rgs10,5
zcchc12,5
ap1s2,5
gpd1,5
klhl13,5
cntnap2,5
ache,5
pvalb,5
gpx3,5
nrsn2,5
lypd6b,5
nap1l5,5
kit,5
gaa,5
crh,5
rbp4,5
mgat4c,5
pnoc,5
cox6a2,5
calb2,5
tspyl4,5
impact,5
hdac9,5
lypd6,5
rgs12,5
e530001k10rik,5
nek7,5
igf1,5
tac1,5
scoc,5
dner,5
erbb4,5
pthlh,5
lgals1,5
prox1,5
gad1,5
nxph1,5
vstm2a,5
cxcl14,5
cpne7,5
cplx1,5
bex1,5
slc6a1,5
crhbp,5
tcf4,5
adarb2,5
inpp5f,5
phlda1,5
grin3a,5
sst,5
rcan2,5
gprasp2,5
htr3a,5
kcnc2,5
tac2,5
rpp25,5
sh3bgrl,5
kcnip1,5
cysltr2,6
cald1,6
ace2,6
p2ry14,6
perp,6
crip1,6
pdgfrb,6
sncg,6
myl9,6
tm4sf1,6
abcc9,6
phldb2,6
ptrf,6
kcnj8,6
rbpms,6
art3,6
tagln,6
mustn1,6
igfbp7,6
ndufa4l2,6
bcam,6
slc38a11,6
gjc1,6
kcnmb1,6
ifitm1,6
pln,6
pde3a,6
tagln2,6
pla1a,6
aspn,6
tpm2,6
atp13a5,6
marveld1,6
ebf1,6
mcam,6
cnn1,6
rgs5,6
sod3,6
epas1,6
myh11,6
myom1,6
filip1l,6
4930523c07rik,6
zak,6
cnn2,6
gja4,6
rhoc,6
wtip,6
hrct1,6
lamb2,6
gpr20,6
gper1,6
cav1,6
anxa1,6
acta2,6
arhgap29,6
gng11,6
ntn4,6
crispld2,6
mylk,6
olfr78,6
des,6
itga1,6
rras,6
higd1b,6
olfr558,6
enpep,6
heyl,6
vim,6
rasl12,6
atp5o,7
cox6b1,7
ndufa5,7
ndufa12,7
ndufb3,7
ndufa6,7
ldhb,7
atp5k,7
loc102631912,7
atp5g1,7
atp5j2,7
ndufb8,7
atp5h,7
ndufa1,7
ndufa11,7
atp5g3,7
cox5b,7
uqcrq,7
ndufb2,7
2010107e04rik,7
cox8a,7
uqcrh,7
chchd10,7
ndufb6,7
ndufb10,7
ndufb5,7
ndufc1,7
ppia,7
tceb2,7
cox6c,7
ndufa3,7
ndufc2,7
dynlrb1,7
ubl5,7
cisd1,7
hint1,7
atp5c1,7
mif,7
ndufa2,7
ndufa13,7
atp5f1,7
cox7a2,7
ndufv2,7
atp5j,7
cox6a1,7
uqcrb,7
cox7b,7
fkbp3,7
atp6v1f,7
atpif1,7
ndufb9,7
cox4i1,7
chchd2,7
cox5a,7
usmg5,7
cped1,8
slc22a6,8
vstm4,8
ogn,8
slc6a20a,8
slc6a13,8
prelp,8
fam180a,8
fmod,8
efemp1,8
apod,8
cfh,8
nid1,8
fgfbp1,8
vtn,8
aldh1a2,8
lum,8
igf2,8
itih2,8
pcolce,8
gatm,8
dcn,8
aebp1,8
rcn3,8
col1a2,8
aox3,8
ptgds,8
slc13a4,8
foxc1,8
lepr,8
crabp2,8
gpr182,8
bgn,8
serpinf1,8
colec12,8
gjb2,8
kcnj13,8
serping1,8
sox10,9
neu4,9
rhog,9
aspa,9
ermn,9
mog,9
pdlim2,9
opalin,9
fa2h,9
cd82,9
tmem88b,9
mobp,9
mal,9
gpr17,9
litaf,9
olig1,9
ugt8a,9
gpr37,9
cldn11,9
olig2,9
mag,9
ppp1r14a,9
mbp,9
pllp,9
trf,9
ndrg1,9
c1ql1,9
gjb1,9
plp1,9
evi2a,9
cnp,9
gjc3,9
hapln2,9
nd6,10
nd5,10
nd2,10
nd4,10
cd74,11
h2-aa,11
h2-ab1,11
nars,12
sars,12
asns,12
plcxd2,13
loc101056001,13
rorb,13
cxcl10,14
ccl5,14
crym,15
rprm,15
dclk1,16
slc1a2,16
tmem176b,17
tmem176a,17
gabrg2,18
gabra1,18
c1qtnf4,19
pcsk1n,19
