,x,y,leiden,QC
168,6988.204724,12922.31496,34,cell
169,6864.485255,12931.35121,34,cell
170,6893.217687,12926.59864,23,cell
171,7071.929936,12925.33758,4,cell
172,6935.009174,12940.58257,34,cell
173,7126.921875,12936.375,4,cell
174,6564.5,12942.11111,6,cell
175,6780.95,12947.25625,4,cell
176,6978.518519,12945.5679,3,cell
177,7117.562189,12947.93532,34,cell
178,6361.965217,12950.7913,4,cell
179,6489.36,12952.656,34,cell
180,6679.397436,12950.37179,4,cell
181,7102.531532,12951.86486,3,cell
182,6386.652893,12954.15702,3,cell
183,6620.3,12956.15909,34,cell
184,6912.96063,12955.75591,34,cell
185,6681.123596,12961.15169,24,cell
186,6789.146341,12961.85366,4,cell
187,6479.345679,12964.08025,4,cell
188,6960.767857,12963.79762,3,cell
189,6767.962025,12966.10127,5,cell
190,6881.468085,12963.93617,3,cell
191,6490.205882,12968.91176,34,cell
192,6678.923913,12972.82609,24,cell
193,7094.485149,12972.53465,24,cell
194,6831.701863,12974.21118,12,cell
195,7069.422018,12979.41284,34,cell
196,6988.810526,12977.75789,3,cell
197,6403.385827,12981.97638,26,cell
198,6751.346939,12982.88435,9,cell
199,7019.560345,12981.24138,3,cell
200,6377.741573,12981.66292,3,cell
201,6415.174603,12982.15873,26,cell
202,6483.161765,12983.32353,3,cell
203,7039.538462,12984.09467,34,cell
204,6915.5,12984.12921,3,cell
205,6776.568627,12982.03922,3,cell
206,6953.646154,12988.46667,34,cell
207,6468.290598,12988.30769,25,cell
208,6843.63253,12989.39759,34,cell
209,6389.874346,12991.13613,24,cell
210,6677.384,12989.664,34,cell
211,7046.074176,12996.03297,7,cell
212,6437.685185,12991.38889,34,cell
213,6718.285714,12993.43878,16,cell
214,6427.0,12993.69663,26,cell
215,6520.836364,12995.23636,3,cell
216,6401.128571,12997.15714,26,cell
217,6352.106383,12998.80851,3,cell
218,6919.108696,13003.41848,34,cell
219,6964.022936,13006.4633,5,cell
220,7022.42,13006.38667,34,cell
221,6431.269231,13004.42308,26,cell
222,6900.296875,13009.57292,34,cell
223,6700.4375,13010.32386,34,cell
224,6374.585616,13014.59247,24,cell
225,6457.788321,13012.62774,26,cell
226,6445.526066,13014.67299,26,cell
227,6492.280303,13012.2803,26,cell
228,6539.815789,13013.42105,34,cell
229,6434.38,13018.45,26,cell
230,6678.758065,13011.87097,34,cell
231,6605.865546,13015.41176,34,cell
232,6411.601036,13018.96373,26,cell
233,7030.5,13018.0,34,cell
234,6772.552764,13022.84925,34,cell
235,7016.245902,13024.45902,34,cell
236,6502.535836,13029.62116,26,cell
237,6979.6,13026.97143,3,cell
238,6586.486486,13029.68468,34,cell
239,6422.447368,13031.02193,26,cell
240,6362.409091,13029.58586,24,cell
241,6564.188571,13031.44571,34,cell
242,6388.016026,13035.83974,24,cell
243,6607.340659,13031.63736,4,cell
244,6678.157895,13033.69737,34,cell
245,7000.418605,13033.5814,34,cell
246,6528.754386,13036.61404,34,cell
247,6620.674074,13038.58519,3,cell
248,6514.054054,13039.03378,22,cell
249,6413.287356,13042.39655,26,cell
250,6975.583333,13042.23333,34,cell
251,6704.662983,13046.85083,34,cell
252,6909.381443,13048.51546,3,cell
253,6506.221053,13052.01053,26,cell
254,6937.811765,13049.73529,4,cell
255,6352.190476,13048.5,24,cell
256,6376.638655,13053.0084,24,cell
257,6622.090909,13059.68312,24,cell
258,6983.568862,13054.52695,3,cell
259,6636.529801,13054.98013,34,cell
